Country,Region,HDI_Category,Population,Screening_Rate,Median_Age,Urbanization_Rate,Healthcare_Expenditure,GDP_Per_Capita,Obesity_Rate,Smoking_Rate,Alcohol_Consumption,Physical_Activity_Rate,Family_History_Rate,Breastfeeding_Rate,Average_Diagnosis_Age,Survival_Rate,Access_To_Care,Education_Level,Women_Population,Breast_Cancer_Cases,Breast_Cancer_Deaths,Cases_Per_100K,Deaths_Per_100K,Mortality_Rate
Brazil,North America,High,55366790,27.15,22,31.81,6677,30028,39.21,35.74,9.06,21.33,43.03,21.19,41,55.2,22.9,Primary,27492830,59289,11033,215.65,40.13,18.61
Vietnam,North America,Low,189608097,27.21,36,33.03,1200,42371,44.09,10.45,5.64,45.29,48.28,67.76,62,72.05,89.89,Secondary,94151444,203041,37785,215.65,40.13,18.61
Indonesia,Asia,High,140733773,37.34,36,39.59,8121,41401,38.76,31.05,9.74,39.39,25.04,42.65,66,68.81,83.52,Tertiary,69882500,150704,28045,215.65,40.13,18.61
Spain,South America,Medium,199232962,66.66,49,48.42,3753,22483,20.93,26.1,9,66.66,20.45,41.36,46,69.29,80.94,Primary,98930749,213348,39703,215.65,40.13,18.61
Japan,Oceania,Low,40977368,82.78,46,46.63,8598,22051,7.39,29.24,13.67,21.64,15.39,38.83,44,72.98,49.62,Secondary,20347645,43880,8165,215.65,40.13,18.61
Egypt,South America,High,109800184,77.65,35,78.27,4113,35000,6.22,13.98,12.8,65.74,13.65,81.23,56,68.87,36.46,Primary,54522175,117579,21880,215.65,40.13,18.61
China,Oceania,High,14277988,32.15,21,53.83,4020,18675,45.69,22.47,14.69,29.94,43.19,41.75,30,76.97,21.54,Primary,7089851,15289,2845,215.65,40.13,18.61
Nigeria,Europe,Medium,7548672,72.65,47,57.71,8933,47861,11.95,31.66,13.94,59.77,42.69,68.09,31,81.24,77.62,Primary,3748354,8083,1504,215.64,40.12,18.61
Saudi Arabia,Europe,Medium,180306534,31.83,26,73.43,6447,10946,35.11,26.5,3.72,39.57,45.76,23.38,58,95.88,36.5,Tertiary,89532677,193081,35931,215.65,40.13,18.61
United Kingdom,South America,Medium,12417781,80.74,43,58.17,100,29398,7.38,34.03,3.01,31.83,13.99,77.95,35,58.57,52.04,Tertiary,6166150,13297,2474,215.65,40.12,18.61
Canada,Africa,High,88382575,25.25,36,54.4,157,32925,13.06,6.45,4.36,55.49,41.04,59.96,68,97.83,59.87,Secondary,43887087,94644,17612,215.65,40.13,18.61
France,Oceania,High,70527589,63.33,35,45.52,7874,35639,7.45,18.72,13.54,79.63,41.46,42.62,45,97.1,42.94,Tertiary,35021048,75524,14054,215.65,40.13,18.61
Saudi Arabia,North America,Low,191601933,57.77,43,80.1,4535,27393,7.84,28.79,9.7,56.66,42.36,66.07,61,95.69,53.75,Secondary,95141499,205176,38182,215.65,40.13,18.61
United States,Europe,Medium,125390221,35.32,40,51.76,2514,12929,8.74,21.81,10.36,46.66,20.99,31.58,51,79.27,47.71,Tertiary,62263535,134274,24987,215.65,40.13,18.61
Indonesia,North America,Medium,135458290,64.49,46,64.36,1489,48791,46.36,34.29,4.64,64.65,27.6,72.97,50,65.87,72.16,Tertiary,67262916,145055,26994,215.65,40.13,18.61
Italy,Africa,High,55674975,74.48,46,61.65,9382,6363,27.39,18.59,3.56,54.48,43.05,89.55,58,97.53,44.54,Secondary,27645862,59619,11094,215.65,40.13,18.61
Brazil,North America,Low,181567668,81.8,41,89.67,6342,6022,31.67,32.45,5,39.84,26.25,46.36,51,50.66,52.04,Primary,90158903,194431,36182,215.65,40.13,18.61
Spain,North America,Medium,117038108,35.87,49,72.18,6640,40731,46.31,13.84,11.28,61.47,37.74,62.55,45,70.43,79.71,Primary,58116225,125330,23323,215.65,40.13,18.61
France,North America,Low,24434155,16.09,42,89.96,5408,37628,18.45,35.63,0.06,42.1,34.88,63.96,58,72.74,32.64,Secondary,12132978,26165,4869,215.65,40.13,18.61
Brazil,Africa,Medium,66953749,13.64,23,61.7,4309,42854,7.75,5.72,1.06,56.96,42.3,11.02,54,98.84,54.2,Tertiary,33246429,71697,13342,215.65,40.13,18.61
China,North America,Low,118743192,57.88,30,32.24,2585,8996,9.16,9.31,12.17,22,43.43,67.66,66,94.35,44.66,Primary,58962898,127156,23663,215.65,40.13,18.61
Germany,Asia,High,95314178,39.23,22,83.32,5456,2401,14.78,16.11,13.89,77.48,20.7,68.45,62,71.9,48.77,Tertiary,47329031,102067,18994,215.65,40.13,18.61
Pakistan,Africa,Medium,20838308,41.65,32,25.78,4702,23622,30.4,39.67,3.69,50.91,15.07,18.32,43,50.23,84.85,Primary,10347431,22314,4152,215.65,40.13,18.61
South Africa,South America,Low,84128214,68.39,21,56.63,1352,34295,14.04,16.87,13.92,53.8,13.02,34.01,51,79.79,54.5,Secondary,41774549,90088,16764,215.65,40.13,18.61
Brazil,North America,High,71093128,53.42,20,49.48,1020,47359,40.92,31.12,13.21,39.17,48.83,44.28,39,57.76,65.83,Tertiary,35301871,76130,14167,215.65,40.13,18.61
Pakistan,North America,Low,39127736,76.22,23,21.9,934,37004,37.83,35.97,1.41,61.04,12.02,89.84,31,83.22,65.19,Primary,19429195,41899,7797,215.65,40.13,18.61
Spain,Europe,Medium,98959429,45.24,47,61.16,1261,19113,7.56,14.97,4.23,63.87,37.54,84.88,56,72.04,63.71,Primary,49139110,105970,19720,215.65,40.13,18.61
Canada,Africa,Medium,141336182,46.69,25,57.56,5442,12506,37.17,6.17,8.35,30.61,39.1,85.3,64,58.06,31.67,Tertiary,70181631,151349,28165,215.65,40.13,18.61
China,North America,Medium,20178464,11.28,36,79.34,7053,4888,41.49,29.28,0.63,67.23,28.02,29.75,59,57.31,31.19,Secondary,10019780,21608,4021,215.65,40.13,18.61
South Africa,Africa,Medium,157039533,83.58,39,31.35,3102,43283,38.34,33.93,5.45,62.15,38.15,22.36,52,52.84,51.2,Tertiary,77979258,168165,31294,215.65,40.13,18.61
Brazil,Europe,Low,101798693,40.68,31,74.89,8068,41489,48.48,33.86,2.03,32.3,26.95,21.31,40,76.93,69.28,Tertiary,50548969,109011,20286,215.65,40.13,18.61
Indonesia,South America,Medium,132433449,50.8,23,43.48,3835,12382,35.35,36.7,1.49,75.77,25.82,82.86,33,80.64,20.78,Primary,65760907,141816,26391,215.65,40.13,18.61
Argentina,Africa,Medium,112301861,40.7,40,32.18,8536,42976,19.47,13.99,2.83,77.42,22.24,76.14,43,64.18,46.59,Tertiary,55764403,120258,22379,215.65,40.13,18.61
Saudi Arabia,North America,Low,162158151,85.84,40,71.3,4588,32185,23.71,9.37,10.37,45.95,36.44,56.35,33,91.52,73.05,Primary,80520950,173646,32314,215.65,40.13,18.61
France,Africa,High,93007985,59.74,40,59.28,5870,5725,44.43,21.29,14.62,68.53,14.8,21.83,34,74.73,33.09,Primary,46183872,99597,18534,215.65,40.13,18.61
Indonesia,Africa,Low,139276328,43.51,42,73.15,8487,34498,23.26,6.38,7.87,31.17,10.55,52.67,66,62.7,50.46,Secondary,69158794,149144,27755,215.65,40.13,18.61
Bangladesh,South America,Medium,158264981,42.45,47,44.89,1639,40452,20.35,33.37,2.02,78.94,15.05,51,67,67.53,30.11,Primary,78587764,169477,31538,215.65,40.13,18.61
Vietnam,North America,High,109186224,52.3,22,72.1,2521,40479,42.05,11.1,2.79,27.34,27.72,54.8,33,81.65,89.99,Secondary,54217308,116922,21758,215.65,40.13,18.61
France,Asia,Low,111753901,29.66,45,82.03,1838,28238,23.17,22.6,13.28,50.91,47.39,87.72,35,57.17,36.68,Secondary,55492309,119671,22270,215.65,40.13,18.61
Egypt,Oceania,Medium,20706341,32.28,22,88.06,9325,1474,23.14,13.6,0.22,31.47,20.18,33.25,61,80.53,20.42,Secondary,10281902,22173,4126,215.65,40.13,18.61
Argentina,Asia,Medium,122519042,47.97,31,85.22,5848,48177,12.88,23.06,11.49,31.87,49.02,52.97,60,62.92,46.6,Primary,60837827,131199,24415,215.65,40.13,18.61
Mexico,Europe,Medium,52406943,13.84,47,56.6,8790,22806,37.09,13.89,8.89,40.36,35.35,70.49,42,65.47,31.85,Primary,26023094,56119,10443,215.65,40.13,18.61
Spain,North America,Low,4702106,35.77,41,47.7,3315,36780,36.45,24.07,3.91,27.78,33.1,53.01,33,87.5,86.84,Tertiary,2334869,5035,936,215.64,40.09,18.59
Saudi Arabia,Europe,High,82777006,15.41,48,79.46,1926,30566,42.93,37.99,13.64,28.53,32.64,68.73,48,67.47,25.67,Primary,41103596,88641,16495,215.65,40.13,18.61
Egypt,South America,High,115276729,77.88,38,71.56,8811,47093,40.08,25.71,7.3,71.13,39.53,86.47,57,83.01,34.66,Primary,57241598,123444,22972,215.65,40.13,18.61
Turkey,South America,Medium,30513102,34.36,37,57.86,1655,18782,11.45,16.75,3.23,73.89,42.47,25.7,46,88.25,67.23,Tertiary,15151529,32674,6080,215.65,40.13,18.61
Vietnam,Europe,Low,9367027,68.83,35,87.7,3107,47724,35.39,36.37,3.72,77.1,10.75,45.25,61,84.09,83.45,Secondary,4651273,10030,1866,215.64,40.12,18.6
Mexico,Asia,Medium,136772868,76.01,49,88.12,5896,36045,43.85,33.46,7.67,25.37,34.57,11.94,48,70.14,64.45,Tertiary,67915681,146463,27256,215.65,40.13,18.61
Japan,Oceania,Low,58293613,52.64,35,39.19,260,25151,17.67,36.33,6.35,32.36,26.26,89.3,47,66.57,55.34,Tertiary,28946168,62423,11616,215.65,40.13,18.61
Saudi Arabia,North America,Low,105224101,80.84,42,55.21,6625,16572,26.55,12.84,13.33,60.47,20.19,84.26,57,71.67,49.9,Secondary,52249884,112679,20969,215.65,40.13,18.61
Mexico,Oceania,High,137393743,34.65,34,40.12,1744,27725,21.16,6.62,9.11,44.3,39.6,39.09,37,80.93,77.13,Primary,68223981,147128,27379,215.65,40.13,18.61
India,Europe,Low,106785473,42.47,38,64.17,9860,24093,7.09,26.67,0.77,47.94,40.09,78.65,68,72.52,72.57,Tertiary,53025195,114351,21280,215.65,40.13,18.61
Vietnam,Oceania,Medium,83225446,29.65,40,63.9,6546,11574,28.13,12.25,13.63,67.61,45.18,72.92,57,98.69,82.3,Secondary,41326272,89121,16585,215.65,40.13,18.61
United Kingdom,Oceania,Low,6868578,71.56,49,51.28,5837,16674,14.35,19.06,3.02,36.03,13.44,83.17,53,83.7,61.92,Secondary,3410648,7355,1368,215.65,40.11,18.6
Japan,Oceania,High,29004669,49.52,36,75.29,3976,25498,46.11,23.22,14.2,62.79,22.78,12.15,47,89.26,35.25,Secondary,14402504,31059,5779,215.65,40.12,18.61
Turkey,North America,Low,127270979,42.87,35,21.23,1242,20335,35.26,29.09,14.06,34.07,18.44,74.79,54,77.96,29.43,Secondary,63197440,136288,25362,215.65,40.13,18.61
India,South America,Low,151211216,44.22,30,32.71,8628,44384,21.78,36.1,4.31,56.03,33.27,65.03,43,63.62,41.46,Tertiary,75085160,161924,30133,215.65,40.13,18.61
Canada,Europe,Medium,54938580,65.52,29,33.16,6695,6766,7.87,24.08,12.6,56.34,26.11,22.51,45,72.43,51.22,Secondary,27280199,58830,10947,215.65,40.13,18.61
France,North America,Medium,130627276,41.6,31,84.8,7644,27613,35.97,24.24,8.06,46.94,41.4,68.88,34,94.93,68.4,Primary,64864037,139882,26031,215.65,40.13,18.61
Turkey,South America,High,164092660,44.83,27,21.38,8920,20861,35.14,18.76,2.59,75.14,20.47,30.82,61,57.7,74.97,Secondary,81481546,175718,32700,215.65,40.13,18.61
Australia,Asia,High,85688500,64.1,48,48.39,3709,17989,37.21,29,0.3,42.06,39.98,67.68,49,95.11,59.4,Tertiary,42549322,91759,17075,215.65,40.13,18.61
South Korea,North America,Low,187872850,26.61,20,77.93,3418,16070,19.32,34.94,10.25,48.64,13.13,32.91,39,80.73,29.85,Tertiary,93289793,201183,37439,215.65,40.13,18.61
Italy,North America,Medium,59347084,17.64,28,89.11,2748,30460,40.77,35.27,3.2,41.84,28.75,12.27,46,56.74,46.99,Secondary,29469277,63551,11826,215.65,40.13,18.61
France,Africa,Medium,138088562,30.05,47,82.33,4400,28511,47.43,5.05,7.08,64.58,20.77,54.25,37,98.96,84.73,Primary,68568999,147872,27518,215.65,40.13,18.61
United States,Europe,Medium,44240823,48.86,32,66.74,6518,41471,24.33,36.38,8.94,57.19,22.73,69.95,40,98.93,51.94,Primary,21968140,47375,8816,215.65,40.13,18.61
United States,Africa,High,180774973,23.61,45,59.69,3967,29645,28.68,8.29,7.36,37.5,22.62,16.3,35,88.92,50.9,Secondary,89765284,193582,36024,215.65,40.13,18.61
India,Africa,Medium,97594352,89.95,32,63.14,225,2175,30.69,26.78,6.49,53.36,43.28,25.97,34,77.26,82.89,Secondary,48461270,104508,19448,215.65,40.13,18.61
Russia,South America,Medium,85184846,23.1,35,78.29,5207,16951,9,11.12,9.72,73.1,38.27,65.36,48,60.77,20.12,Primary,42299228,91220,16975,215.65,40.13,18.61
South Africa,South America,Medium,116423358,19.06,25,33.77,2515,18653,25.08,6.36,13.81,41.92,34.52,35.85,37,58.17,67.94,Secondary,57810966,124671,23200,215.65,40.13,18.61
United Kingdom,Africa,Medium,1852274,43.57,45,87.74,8975,25399,24.05,27.14,0.8,31.06,44.97,63.5,65,71.33,68.48,Primary,919761,1983,369,215.6,40.12,18.61
Japan,Asia,High,38883381,40.09,20,34.59,4985,38631,41.04,8.6,9.35,55.95,41.63,63.23,50,92.99,75.33,Primary,19307859,41638,7748,215.65,40.13,18.61
United Kingdom,Oceania,Low,175076222,59.27,22,55.46,4320,2909,17.35,25.41,0.9,65.45,27.02,70.68,48,62.64,79.25,Tertiary,86935523,187480,34889,215.65,40.13,18.61
Japan,Oceania,High,87557235,28.39,39,89.21,2215,47941,18.1,38.67,6.6,52.6,14.95,20.42,62,75.19,20.75,Secondary,43477257,93760,17448,215.65,40.13,18.61
France,North America,Low,15760427,16.33,32,82.25,3183,30454,7.05,29.92,14.11,61.59,36.3,49.7,39,56.2,53.94,Secondary,7825968,16877,3140,215.65,40.12,18.61
Canada,Oceania,High,174814769,14.6,28,76.53,4519,27036,45.83,5.95,8.87,74.39,46.82,68.17,31,94.83,30.84,Secondary,86805696,187200,34837,215.65,40.13,18.61
China,South America,High,68897138,15.11,35,87.31,7215,39224,42.02,35,9.05,58.64,49.24,55.63,47,56.3,71.19,Tertiary,34211434,73778,13729,215.65,40.13,18.61
India,Africa,Medium,57929181,26.85,47,88.34,6668,18642,42.7,37.41,12.31,30.34,19.36,66.28,53,51.59,76.07,Secondary,28765206,62033,11544,215.65,40.13,18.61
Argentina,Oceania,Medium,76831255,12.84,45,60.92,9754,13954,5.35,18.9,8.87,38.52,24.01,26.04,57,78.04,77.58,Secondary,38151185,82274,15310,215.65,40.13,18.61
Bangladesh,Europe,Low,117199291,52.42,24,25,2961,43982,35.03,7.69,7.77,76.11,35.17,69.34,31,65.67,89.96,Tertiary,58196262,125502,23355,215.65,40.13,18.61
Bangladesh,South America,Medium,138219625,56.35,47,30.17,247,34924,35.88,28.94,3.55,28.79,31,57.44,40,70.05,52.8,Primary,68634080,148012,27544,215.65,40.13,18.61
Turkey,Asia,High,191491570,19.4,49,56.67,8643,2002,46.74,15.22,1.38,30.22,41.13,38.08,66,51.44,36.62,Secondary,95086698,205058,38160,215.65,40.13,18.61
Russia,South America,Medium,26059422,72.79,23,30.03,1522,28303,40.21,27.67,0.11,79.98,42.08,81.07,49,94.45,54.81,Primary,12940018,27905,5192,215.65,40.12,18.61
United States,Asia,Low,173753752,57.9,48,49.3,798,13971,43.84,5.54,13.01,57.91,16.02,29.81,35,50.13,46.69,Secondary,86278840,186064,34625,215.65,40.13,18.61
Canada,Europe,Low,10633948,43.48,46,43.33,1316,44849,42.65,27.74,8.02,25.77,26.87,30.28,56,79.52,89.99,Tertiary,5280373,11387,2119,215.65,40.13,18.61
France,Asia,High,45675271,27.9,28,38.02,8725,34222,5.81,7.73,5.72,61.97,26.9,65.71,40,90.09,45.47,Secondary,22680427,48911,9102,215.65,40.13,18.61
Pakistan,Asia,Low,31912694,53.15,25,28,4990,8484,25.04,8.98,12.47,25.88,19.43,82.77,43,83.98,85.72,Primary,15846508,34173,6359,215.65,40.13,18.61
United States,Africa,High,167456563,19.99,31,56.72,8605,19323,24.91,38.06,4.55,64.99,23.09,56.33,47,58.33,89.42,Tertiary,83151919,179320,33370,215.65,40.13,18.61
India,North America,High,128108762,54.98,28,28,8233,11963,27.92,21.48,14.9,37.43,38.72,49.26,59,83.17,64.29,Primary,63613448,137185,25529,215.65,40.13,18.61
United States,North America,Medium,74108580,57.85,26,78.48,3945,10387,47.98,14.98,2.84,42.78,48.52,21.58,58,50.44,39.29,Primary,36799218,79359,14768,215.65,40.13,18.61
Russia,Asia,Medium,160625920,25.97,41,79.5,9558,33947,45.56,25.48,3.49,45.14,44.28,54.39,45,84.8,41.64,Primary,79760108,172006,32009,215.65,40.13,18.61
Saudi Arabia,Africa,Low,195636320,38.22,31,50.8,3813,9328,21.93,15.81,4.48,53.01,15.19,77,44,96.44,87.85,Secondary,97144807,209497,38986,215.65,40.13,18.61
Indonesia,South America,Low,89424190,84.12,28,37.46,4711,14084,5.79,9.51,5.4,21.6,33.2,55.88,46,98.24,77.35,Tertiary,44404309,95759,17820,215.65,40.13,18.61
United States,North America,Low,79986059,50.42,44,35.33,3341,8210,27.59,7.71,10.24,33.7,19.55,42.6,53,81.76,60.42,Secondary,39717728,85653,15939,215.65,40.13,18.61
India,Asia,High,67933945,51.58,33,33.57,7966,2634,31.31,12.51,14.97,21.14,37.42,44.66,42,81.85,76.1,Tertiary,33733153,72747,13537,215.65,40.13,18.61
Russia,South America,Medium,84009805,38.2,33,44.81,9961,6900,25.8,9.91,13.32,50.17,46.7,36.65,48,87.21,66.58,Tertiary,41715752,89961,16741,215.65,40.13,18.61
Bangladesh,Oceania,Low,88655131,15.68,49,48.68,3592,49141,42.46,31.71,5.9,64.62,39.79,23.02,67,61.4,21.57,Primary,44022427,94936,17667,215.65,40.13,18.61
Indonesia,Asia,High,3321788,59.5,24,88.81,5063,37662,34.32,10.93,7.8,68.38,16.19,84.22,36,93.64,61.2,Secondary,1649460,3557,661,215.65,40.07,18.58
United Kingdom,Asia,Medium,116795133,77.36,31,34.15,3066,4059,5.29,11.06,11.05,65.76,36.28,77.53,38,87.95,86.9,Secondary,57995574,125070,23274,215.65,40.13,18.61
Japan,North America,Medium,72307816,38.57,32,51.03,5227,12035,49.95,33.93,1.72,46.76,40.36,75.1,38,94.81,87.02,Tertiary,35905034,77430,14409,215.65,40.13,18.61
